benchmark,mode,dtype,acc,M,K,N,mnk,ticks,log_ticks,host_seconds
me_matmul_00168_35d3b981,f8E5M2->f32,f8E5M2,f32,3328,256,128,109051904,13379988500.0,23.317026032154345,293.0
me_matmul_00307_44b2b400,f16->f32,f16,f32,256,1344,320,110100480,4064108500.0,22.125460244700857,153.0
me_matmul_00373_b37eac7d,f16->f32,f16,f32,2688,640,64,110100480,7536261000.0,22.7429920073787,358.0
me_matmul_00459_84193190,f16->f32,f16,f32,1920,448,128,110100480,8771029500.0,22.894720025266516,357.0
me_matmul_00735_c76e4323,f16->f16,f16,f16,256,320,1344,110100480,6524891000.0,22.598890085034796,160.0
me_matmul_00111_40203028,f8E5M2->f32,f8E5M2,f32,128,3456,256,113246208,3414094000.0,21.95117799462444,83.0
me_matmul_00146_1d16110c,f8E5M2->f32,f8E5M2,f32,1152,384,256,113246208,9044652000.0,22.925439480758325,174.0
me_matmul_00202_9321384e,f8E5M2->f32,f8E5M2,f32,384,384,768,113246208,8048700000.0,22.808776424652628,323.0
me_matmul_00658_e642c3aa,f16->f16,f16,f16,1152,1536,64,113246208,4794112500.0,22.290654439516803,151.0
me_matmul_00607_5b61d86c,f16->f16,f16,f16,192,1856,320,114032640,3401069000.0,21.947355630916213,94.0
me_matmul_00445_e72ee90a,f16->f32,f16,f32,256,128,3520,115343360,29081513500.0,24.09336853433716,582.0
me_matmul_00355_a4742bb2,f16->f32,f16,f32,448,2048,128,117440512,4104001000.0,22.135228188479566,156.0
me_matmul_00652_192298e1,f16->f16,f16,f16,128,3584,256,117440512,3997842000.0,22.109020552483813,111.0
me_matmul_00560_802b6b4c,f16->f16,f16,f16,3648,512,64,119537664,7151112500.0,22.690533775954368,271.0
me_matmul_00265_b10f08df,f16->f32,f16,f32,576,1088,192,120324096,4691911000.0,22.26910579910079,169.0
me_matmul_00626_ad47c9af,f16->f16,f16,f16,1408,448,192,121110528,5751613000.0,22.472746174155933,171.0
me_matmul_00013_f806bc50,f8E5M2->f32,f8E5M2,f32,1280,128,768,125829120,26890133000.0,24.01502525329156,553.0
me_matmul_00091_b5039da4,f8E5M2->f32,f8E5M2,f32,128,256,3840,125829120,14575529500.0,23.40260989785412,406.0
me_matmul_00160_c23197d8,f8E5M2->f32,f8E5M2,f32,512,128,1920,125829120,25566891000.0,23.96456403105891,582.0
me_matmul_00210_ef2dca52,f8E5M2->f32,f8E5M2,f32,256,1280,384,125829120,3920594500.0,22.08950913741311,173.0
me_matmul_00248_98a97256,f8E5M2->f32,f8E5M2,f32,640,1536,128,125829120,3591149000.0,22.001738043950002,108.0
me_matmul_00291_130348c9,f16->f32,f16,f32,128,256,3904,127926272,18378020000.0,23.63442122228221,398.0
me_matmul_00082_c6e7cc8f,f8E5M2->f32,f8E5M2,f32,2688,384,128,132120576,10897418500.0,23.11179176326932,223.0
me_matmul_00241_bdd420b0,f8E5M2->f32,f8E5M2,f32,384,128,2688,132120576,26721492000.0,24.008734022379308,546.0
me_matmul_00471_125a588f,f16->f32,f16,f32,128,2048,512,134217728,5158814500.0,22.36397264198174,134.0
me_matmul_00161_a746d583,f8E5M2->f32,f8E5M2,f32,1664,128,640,136314880,29442387500.0,24.10570122466563,666.0
me_matmul_00492_1b82f896,f16->f32,f16,f32,448,960,320,137625600,5856000500.0,22.49073269898793,154.0
me_matmul_00409_0988ef75,f16->f32,f16,f32,448,2432,128,139460608,4577701500.0,22.24446285320549,151.0
me_matmul_00455_f543b7fb,f16->f32,f16,f32,1152,960,128,141557760,6709953500.0,22.6268578579507,174.0
me_matmul_00530_6a51871a,f16->f16,f16,f16,192,960,768,141557760,4731354000.0,22.27747725641439,116.0
me_matmul_00292_310d88d0,f16->f32,f16,f32,1408,320,320,144179200,14132956500.0,23.371775247424907,366.0
me_matmul_00561_13eff06b,f16->f16,f16,f16,384,1472,256,144703488,3844826500.0,22.06999431534886,101.0
me_matmul_00673_478909c9,f16->f16,f16,f16,384,128,3008,147849216,20249768500.0,23.73140919833485,478.0
me_matmul_00293_046a2e31,f16->f32,f16,f32,192,576,1344,148635648,8790201000.0,22.896903415276253,190.0
me_matmul_00522_447fc13f,f16->f32,f16,f32,128,2624,448,150470656,5430650000.0,22.41532466906884,215.0
me_matmul_00039_3b992751,f8E5M2->f32,f8E5M2,f32,128,1152,1024,150994944,6011781000.0,22.516986881027947,136.0
me_matmul_00063_9293da45,f8E5M2->f32,f8E5M2,f32,256,1152,512,150994944,4879060000.0,22.308218415306463,140.0
me_matmul_00074_35e1ce2f,f8E5M2->f32,f8E5M2,f32,384,256,1536,150994944,16457349000.0,23.524037962116104,325.0
me_matmul_00142_2c4ef381,f8E5M2->f32,f8E5M2,f32,128,1024,1152,150994944,6387855000.0,22.577664368231286,152.0
me_matmul_00204_eaf53eed,f8E5M2->f32,f8E5M2,f32,512,384,768,150994944,11359933500.0,23.15335839634904,228.0
me_matmul_00208_e2bba783,f8E5M2->f32,f8E5M2,f32,512,1152,256,150994944,4596202000.0,22.24849614722906,202.0
me_matmul_00246_6064f97d,f8E5M2->f32,f8E5M2,f32,256,384,1536,150994944,11624896500.0,23.17641488515439,267.0
me_matmul_00598_baf3e820,f16->f16,f16,f16,1152,64,2048,150994944,39161318000.0,24.39095531083499,942.0
me_matmul_00570_dc23ecbd,f16->f16,f16,f16,448,256,1344,154140672,10546720500.0,23.079080795463085,258.0
me_matmul_00686_f645e0d5,f16->f16,f16,f16,768,320,640,157286400,8933150500.0,22.91303496916776,254.0
me_matmul_00078_76003a19,f8E5M2->f32,f8E5M2,f32,128,2432,512,159383552,4838561000.0,22.29988319941878,175.0
me_matmul_00304_5bec4f4b,f16->f32,f16,f32,1856,1344,64,159645696,7873777500.0,22.78680377151219,248.0
me_matmul_00037_baa955bf,f8E5M2->f32,f8E5M2,f32,1408,128,896,161480704,33766477000.0,24.242734342537894,711.0
me_matmul_00083_42877a44,f8E5M2->f32,f8E5M2,f32,128,1408,896,161480704,5834077500.0,22.4869819924998,152.0
me_matmul_00569_9c093973,f16->f16,f16,f16,640,64,3968,162529280,46528957000.0,24.563340686905914,1065.0
me_matmul_00048_79b849d0,f8E5M2->f32,f8E5M2,f32,256,384,1664,163577856,12433438000.0,23.2436552931232,256.0
me_matmul_00270_6b83db10,f16->f32,f16,f32,64,1536,1664,163577856,9592944500.0,22.984293717296914,418.0
me_matmul_00654_08f66b61,f16->f16,f16,f16,64,832,3072,163577856,9745372000.0,23.000058342599615,329.0
me_matmul_00473_87fca765,f16->f32,f16,f32,576,128,2240,165150720,41292533500.0,24.443947533644533,680.0
me_matmul_00664_d10fe008,f16->f16,f16,f16,2688,64,960,165150720,42464519000.0,24.471934717139078,913.0
me_matmul_00736_59104d23,f16->f16,f16,f16,64,3392,768,166723584,8086367000.0,22.813445394223823,195.0
me_matmul_00052_5a4f6366,f8E5M2->f32,f8E5M2,f32,256,1024,640,167772160,5766885000.0,22.47539791033699,149.0
me_matmul_00600_9c87aa6e,f16->f16,f16,f16,1024,256,640,167772160,12345563000.0,23.236562564211958,273.0
me_matmul_00732_e47254e8,f16->f16,f16,f16,128,2944,448,168820736,5296863500.0,22.39038068987339,135.0
me_matmul_00414_d211a2ce,f16->f32,f16,f32,128,832,1600,170393600,8827709500.0,22.90116141813884,205.0
me_matmul_00504_7be6579f,f16->f32,f16,f32,3840,704,64,173015040,11127656000.0,23.132699378077515,291.0
me_matmul_00684_6bcf7694,f16->f16,f16,f16,704,3840,64,173015040,6478183500.0,22.591705983938382,250.0
me_matmul_00092_8e245d23,f8E5M2->f32,f8E5M2,f32,384,512,896,176160768,10097265500.0,23.03553048156198,382.0
me_matmul_00177_248289a4,f8E5M2->f32,f8E5M2,f32,384,256,1792,176160768,18767633500.0,23.655399600746996,404.0
me_matmul_00632_ad82ca3e,f16->f16,f16,f16,1536,128,896,176160768,23380432500.0,23.875165291536085,655.0
me_matmul_00757_f76d5cf9,f16->f16,f16,f16,64,2688,1024,176160768,8650970500.0,22.88093734812843,251.0
me_matmul_00406_9f7eadcb,f16->f32,f16,f32,2560,1088,64,178257920,9424763500.0,22.96660647712746,234.0
me_matmul_00375_7b7c7103,f16->f32,f16,f32,1472,1920,64,180879360,8021602500.0,22.805404051832465,201.0
me_matmul_00165_162695b9,f8E5M2->f32,f8E5M2,f32,384,128,3712,182452224,36519270000.0,24.321105903426297,806.0
me_matmul_00723_ef1a0c29,f16->f16,f16,f16,3712,128,384,182452224,27086706000.0,24.022308890965796,576.0
me_matmul_00518_004b0fe3,f16->f32,f16,f32,192,1152,832,184025088,7593609500.0,22.750572875258456,182.0
me_matmul_00767_67fd7939,f16->f16,f16,f16,1344,1088,128,187170816,5965507500.0,22.509259968508406,287.0
me_matmul_00089_f7b2e69b,f8E5M2->f32,f8E5M2,f32,256,384,1920,188743680,14329619000.0,23.38559449085453,285.0
me_matmul_00512_0c56077a,f16->f32,f16,f32,192,3072,320,188743680,5591777000.0,22.444562962685044,144.0
me_matmul_00056_4a5ff802,f8E5M2->f32,f8E5M2,f32,896,128,1664,190840832,38527692000.0,24.374643092414768,923.0
me_matmul_00096_1cc18baf,f8E5M2->f32,f8E5M2,f32,512,128,2944,192937984,38533608000.0,24.374796632518855,849.0
me_matmul_00781_956ee113,f16->f16,f16,f16,1024,1472,128,192937984,5581237500.0,22.44267636294492,174.0
me_matmul_00590_b3622577,f16->f16,f16,f16,1600,64,1920,196608000,55808474000.0,24.74519155860282,1221.0
me_matmul_00285_0aee7c76,f16->f32,f16,f32,256,576,1344,198180864,12628367500.0,23.259211509214268,324.0
me_matmul_00715_03a75484,f16->f16,f16,f16,3264,64,960,200540160,51405013500.0,24.663001543561425,1256.0
me_matmul_00035_c42d8b09,f8E5M2->f32,f8E5M2,f32,256,2048,384,201326592,4813318500.0,22.294652600020783,115.0
me_matmul_00198_8034f463,f8E5M2->f32,f8E5M2,f32,256,768,1024,201326592,8473863000.0,22.860252321920726,223.0
me_matmul_00203_4957f337,f8E5M2->f32,f8E5M2,f32,256,3072,256,201326592,4226608000.0,22.16466561706487,122.0
me_matmul_00640_315bd54c,f16->f16,f16,f16,896,320,704,201850880,11199367500.0,23.139123140438503,295.0
me_matmul_00495_92405a1a,f16->f32,f16,f32,2368,448,192,203685888,15622923500.0,23.47200512773742,317.0
me_matmul_00672_6e092e70,f16->f16,f16,f16,192,1280,832,204472320,5957171500.0,22.507861624837773,151.0
me_matmul_00711_23b7de85,f16->f16,f16,f16,384,832,640,204472320,6047674500.0,22.52293965493088,174.0
me_matmul_00346_f2d6d5ff,f16->f32,f16,f32,384,1408,384,207618048,6445456500.0,22.586641300930083,205.0
me_matmul_00582_0d8ae271,f16->f16,f16,f16,704,512,576,207618048,7796719000.0,22.776968841122063,192.0
me_matmul_00211_070bf87c,f8E5M2->f32,f8E5M2,f32,640,512,640,209715200,11410975500.0,23.157841492345558,281.0
me_matmul_00312_2ab24b73,f16->f32,f16,f32,1280,320,512,209715200,23480656000.0,23.87944277018724,584.0
me_matmul_00695_25dfac94,f16->f16,f16,f16,512,3200,128,209715200,5439269500.0,22.416910605709248,223.0
me_matmul_00075_4869f958,f8E5M2->f32,f8E5M2,f32,128,2176,768,213909504,6483152500.0,22.592472725922917,138.0
me_matmul_00677_86ec91eb,f16->f16,f16,f16,1088,128,1536,213909504,28530199000.0,24.07422897726141,727.0
me_matmul_00519_6a9e2ecc,f16->f32,f16,f32,960,320,704,216268800,21883333500.0,23.808991156643252,489.0
me_matmul_00180_9a05521d,f8E5M2->f32,f8E5M2,f32,1664,256,512,218103808,25570486000.0,23.9647046327173,576.0
me_matmul_00227_dd79b306,f8E5M2->f32,f8E5M2,f32,256,256,3328,218103808,24171856000.0,23.908454818122003,583.0
me_matmul_00749_522ed8f6,f16->f16,f16,f16,64,1728,1984,219414528,11166024000.0,23.136141433214323,278.0
me_matmul_00255_665cdcef,f8E5M2->f32,f8E5M2,f32,640,896,384,220200960,7494110000.0,22.737383215619573,284.0
me_matmul_00497_8629b4ba,f16->f32,f16,f32,128,3392,512,222298112,7366346500.0,22.720187694319065,177.0
me_matmul_00055_dfcd631c,f8E5M2->f32,f8E5M2,f32,384,2304,256,226492416,4794765500.0,22.29079063897643,178.0
me_matmul_00072_ef6ab42a,f8E5M2->f32,f8E5M2,f32,1152,128,1536,226492416,46500208500.0,24.562722633400636,1315.0
me_matmul_00137_0c3e9c54,f8E5M2->f32,f8E5M2,f32,256,384,2304,226492416,17100436500.0,23.562369826445025,376.0
me_matmul_00182_8f967c03,f8E5M2->f32,f8E5M2,f32,512,3456,128,226492416,4575559000.0,22.24399471400217,202.0
me_matmul_00528_58699174,f16->f16,f16,f16,1536,384,384,226492416,10007272000.0,23.026577865658652,279.0
me_matmul_00738_cc9d2e1c,f16->f16,f16,f16,512,1152,384,226492416,5646945500.0,22.45438061644834,177.0
me_matmul_00513_49916eba,f16->f32,f16,f32,1856,384,320,228065280,21274816500.0,23.780789886221765,464.0
me_matmul_00215_f04fb1c3,f8E5M2->f32,f8E5M2,f32,640,2816,128,230686720,4812136500.0,22.29440700124006,175.0
me_matmul_00236_04d18d7d,f8E5M2->f32,f8E5M2,f32,640,1408,256,230686720,6053540500.0,22.523909144434118,155.0
me_matmul_00300_6d734bd6,f16->f32,f16,f32,128,1664,1088,231735296,9274949000.0,22.950582946772503,283.0
me_matmul_00011_1bc3212e,f8E5M2->f32,f8E5M2,f32,2048,896,128,234881024,8785836500.0,22.896406773175926,217.0
me_matmul_00040_e54842c0,f8E5M2->f32,f8E5M2,f32,896,512,512,234881024,12851927000.0,23.276759598134095,338.0
me_matmul_00042_7be27544,f8E5M2->f32,f8E5M2,f32,3584,256,256,234881024,29946801000.0,24.12268834445088,577.0
me_matmul_00188_87804000,f8E5M2->f32,f8E5M2,f32,1792,512,256,234881024,15604832000.0,23.470846446831004,386.0
me_matmul_00381_4a953c0a,f16->f32,f16,f32,256,448,2048,234881024,19643480500.0,23.70101133903965,448.0
me_matmul_00125_326605e7,f8E5M2->f32,f8E5M2,f32,2432,384,256,239075328,20848103500.0,23.760528821821566,376.0
me_matmul_00621_ecc0f2b8,f16->f16,f16,f16,1728,2176,64,240648192,9127319000.0,22.934537841113933,290.0
me_matmul_00747_98ad2169,f16->f16,f16,f16,704,256,1344,242221056,17016307500.0,23.557437985908145,450.0
me_matmul_00701_7cf3a47b,f16->f16,f16,f16,128,960,1984,243793920,9233968000.0,22.946154695571447,226.0
me_matmul_00514_05b1ebfd,f16->f32,f16,f32,1536,832,192,245366784,11864238000.0,23.196794502268624,287.0
me_matmul_00714_7d20ef96,f16->f16,f16,f16,192,448,2880,247726080,12168804000.0,23.22214146467124,314.0
me_matmul_00014_0f8b386f,f8E5M2->f32,f8E5M2,f32,2560,256,384,251658240,28406375500.0,24.069879446356207,721.0
me_matmul_00117_e994c679,f8E5M2->f32,f8E5M2,f32,768,1280,256,251658240,6841940000.0,22.64633715409769,154.0
me_matmul_00194_5c6e0150,f8E5M2->f32,f8E5M2,f32,256,1536,640,251658240,6683797000.0,22.62295207618304,149.0
me_matmul_00216_dd32951a,f8E5M2->f32,f8E5M2,f32,768,128,2560,251658240,50533469500.0,24.645901716073972,1246.0
me_matmul_00363_e1d44737,f16->f32,f16,f32,1024,768,320,251658240,12317105500.0,23.234254824266493,263.0
me_matmul_00716_72a74a8c,f16->f16,f16,f16,192,960,1408,259522560,8241514500.0,22.8324499625226,233.0
me_matmul_00727_39648e21,f16->f16,f16,f16,128,3520,576,259522560,7594931000.0,22.750746888028587,246.0
me_matmul_00491_2d469be1,f16->f32,f16,f32,1600,320,512,262144000,29189155000.0,24.09706307312347,675.0
me_matmul_00054_49bb58db,f8E5M2->f32,f8E5M2,f32,896,768,384,264241152,10669833500.0,23.090686297639728,210.0
me_matmul_00517_28b1472d,f16->f32,f16,f32,64,3264,1280,267386880,13543854000.0,23.329198702038106,465.0
me_matmul_00140_7de66873,f8E5M2->f32,f8E5M2,f32,512,1024,512,268435456,7825898000.0,22.780704327171545,170.0
me_matmul_00534_49fa13c1,f16->f16,f16,f16,64,2368,1792,271581184,13186017000.0,23.302422786882858,357.0
me_matmul_00583_9c3b994c,f16->f16,f16,f16,1664,256,640,272629760,21031548000.0,23.769289433081816,616.0
me_matmul_00667_50d74bdc,f16->f16,f16,f16,832,1280,256,272629760,6525857000.0,22.599038122526864,166.0
me_matmul_00378_e960dc66,f16->f32,f16,f32,960,448,640,275251200,21994848000.0,23.8140740810617,568.0
me_matmul_00631_eda8afe1,f16->f16,f16,f16,384,448,1600,275251200,12092287500.0,23.215833689631257,301.0
me_matmul_00552_57c319c4,f16->f16,f16,f16,128,1472,1472,277348352,8887034000.0,22.907859197508415,356.0
me_matmul_00437_fa4414fc,f16->f32,f16,f32,1088,192,1344,280756224,45784255000.0,24.547206091669015,878.0
me_matmul_00233_951e75d9,f8E5M2->f32,f8E5M2,f32,384,640,1152,283115520,13443459000.0,23.321758504999877,319.0
me_matmul_00416_0e808070,f16->f32,f16,f32,384,2880,256,283115520,7010176000.0,22.670628644667747,179.0
me_matmul_00443_01d2cd0c,f16->f32,f16,f32,576,1920,256,283115520,7976694000.0,22.799789876853808,200.0
me_matmul_00493_d4a0d9a1,f16->f32,f16,f32,2880,384,256,283115520,23284043500.0,23.871034134589852,523.0
me_matmul_00302_3a3f6d83,f16->f32,f16,f32,768,832,448,286261248,12745660500.0,23.268456697676463,350.0
me_matmul_00678_bdabf8e9,f16->f16,f16,f16,192,1664,896,286261248,7493661000.0,22.737323300105768,224.0
me_matmul_00328_9019671e,f16->f32,f16,f32,1600,1408,128,288358400,10720912000.0,23.095462063597292,393.0
me_matmul_00428_17a91384,f16->f32,f16,f32,384,2368,320,290979840,7271927500.0,22.707287224024917,213.0
me_matmul_00155_a59deef2,f8E5M2->f32,f8E5M2,f32,1280,896,256,293601280,11440512500.0,23.16042662084567,331.0
me_matmul_00769_2bf4f9cb,f16->f16,f16,f16,3584,128,640,293601280,42923877000.0,24.482694081477412,973.0
me_matmul_00085_713f63d6,f8E5M2->f32,f8E5M2,f32,128,1664,1408,299892736,9745318500.0,23.000052852799243,208.0
me_matmul_00657_3b74c38e,f16->f16,f16,f16,256,704,1664,299892736,10194776000.0,23.045141269176767,253.0
me_matmul_00295_be864448,f16->f32,f16,f32,2944,320,320,301465600,29374895000.0,24.103406234936262,643.0
me_matmul_00206_358db402,f8E5M2->f32,f8E5M2,f32,512,1152,512,301989888,8044483000.0,22.808252351808058,299.0
me_matmul_00224_4473bf67,f8E5M2->f32,f8E5M2,f32,1536,768,256,301989888,13744546000.0,23.343907927825313,263.0
me_matmul_00273_da058cd9,f16->f32,f16,f32,1536,256,768,301989888,39632573500.0,24.40291718021851,832.0
me_matmul_00275_830078ec,f16->f32,f16,f32,2048,576,256,301989888,19785980000.0,23.708239443031204,352.0
me_matmul_00267_9f97dc9c,f16->f32,f16,f32,1856,640,256,304087040,19522146000.0,23.69481535041315,412.0
me_matmul_00457_82e73914,f16->f32,f16,f32,1152,832,320,306708480,14216716500.0,23.377684327485344,298.0
me_matmul_00617_c0c1e3f6,f16->f16,f16,f16,192,640,2496,306708480,11751358500.0,23.187234687874724,335.0
me_matmul_00274_2667fb0a,f16->f32,f16,f32,896,2688,128,308281344,8719833500.0,22.88886598064831,287.0
me_matmul_00565_29e3a8b2,f16->f16,f16,f16,768,192,2112,311427072,28245915000.0,24.064214682313107,587.0
me_matmul_00018_eea7ebef,f8E5M2->f32,f8E5M2,f32,768,3200,128,314572800,5988486000.0,22.513104462534958,155.0
