benchmark,mode,dtype,acc,M,K,N,mnk,ticks,log_ticks,host_seconds
me_matmul_00105_8e047e8d,f8E5M2->f32,f8E5M2,f32,1024,1408,512,738197504,18583603500.0,23.645545496629445,509.0
me_matmul_00209_c8a1162b,f8E5M2->f32,f8E5M2,f32,1408,512,1024,738197504,41473565000.0,24.448322073268237,894.0
me_matmul_00516_69964bbd,f16->f32,f16,f32,1088,896,768,748683264,32027825000.0,24.189870893172845,566.0
me_matmul_00535_fcad9937,f16->f16,f16,f16,1536,448,1088,748683264,31175601500.0,24.162901622632713,621.0
me_matmul_00368_45a4d7b6,f16->f32,f16,f32,896,3328,256,763363328,15484507000.0,23.463105812602894,401.0
me_matmul_00350_330730bf,f16->f32,f16,f32,192,2496,1600,766771200,21413646000.0,23.787294219304602,569.0
me_matmul_00156_f73e1217,f8E5M2->f32,f8E5M2,f32,128,2176,2816,784334848,23165809500.0,23.86594330016453,530.0
me_matmul_00004_5afd727d,f8E5M2->f32,f8E5M2,f32,384,1792,1152,792723456,16941597500.0,23.55303782514788,331.0
me_matmul_00069_bae04502,f8E5M2->f32,f8E5M2,f32,2688,768,384,792723456,31752170000.0,24.18122690640629,633.0
me_matmul_00205_e49a8705,f8E5M2->f32,f8E5M2,f32,896,1152,768,792723456,21794421500.0,23.804919879499458,526.0
me_matmul_00776_a9aa821f,f16->f16,f16,f16,256,2304,1344,792723456,15482183500.0,23.462955748132533,436.0
me_matmul_00742_451cb9dc,f16->f16,f16,f16,1536,832,640,817889280,23072541500.0,23.86190906778047,509.0
me_matmul_00739_23a29ff4,f16->f16,f16,f16,256,1024,3136,822083584,23025686500.0,23.859876234061336,561.0
me_matmul_00448_3f7a3341,f16->f32,f16,f32,256,1152,2816,830472192,33151431500.0,24.224351735149718,748.0
me_matmul_00024_e78a0c8c,f8E5M2->f32,f8E5M2,f32,1024,1280,640,838860800,21282431000.0,23.781147733616912,456.0
me_matmul_00485_582688e2,f16->f32,f16,f32,512,3264,512,855638016,15952092000.0,23.49285581745117,426.0
me_matmul_00579_e3280055,f16->f16,f16,f16,256,4032,832,858783744,15090274500.0,23.43731630041559,375.0
me_matmul_00706_dc65f03d,f16->f16,f16,f16,320,1920,1408,865075200,16204102500.0,23.508530287865465,503.0
me_matmul_00581_c99c38e1,f16->f16,f16,f16,704,576,2304,934281216,31753278500.0,24.181261816796702,732.0
me_matmul_00585_9ebc0353,f16->f16,f16,f16,3520,320,832,937164800,51800676000.0,24.670669036319747,1248.0
me_matmul_00319_0a7ce50c,f16->f32,f16,f32,704,1280,1088,980418560,30619967500.0,24.144918165777607,642.0
me_matmul_00551_dc010c8c,f16->f16,f16,f16,1024,2176,448,998244352,15069295000.0,23.43592506680505,355.0
me_matmul_00240_d2505d35,f8E5M2->f32,f8E5M2,f32,512,3072,640,1006632960,14813383000.0,23.418796865879393,464.0
me_matmul_00687_fdac35a1,f16->f16,f16,f16,1216,320,2624,1021050880,56259945000.0,24.753248662403664,1194.0
me_matmul_00068_07c47247,f8E5M2->f32,f8E5M2,f32,640,896,1792,1027604480,33559694500.0,24.236591615405057,650.0
me_matmul_00591_3a72337f,f16->f16,f16,f16,256,1216,3328,1035993088,26311033000.0,23.993254193865635,632.0
me_matmul_00389_7daf9979,f16->f32,f16,f32,256,2752,1472,1037041664,24934883500.0,23.939533603786,590.0
me_matmul_00298_f4844d79,f16->f32,f16,f32,256,2112,1920,1038090240,28986598500.0,24.090099439432556,666.0
me_matmul_00725_9f84df39,f16->f16,f16,f16,2368,896,512,1086324736,26978094000.0,24.018291040308387,680.0
me_matmul_00543_dbabafe3,f16->f16,f16,f16,192,2752,2112,1115947008,23838224000.0,23.89455617972425,651.0
me_matmul_00662_d76e8e03,f16->f16,f16,f16,512,704,3200,1153433600,34698472500.0,24.269961502757397,832.0
me_matmul_00347_6a077fa7,f16->f32,f16,f32,512,1856,1216,1155530752,29065252500.0,24.09280922548673,641.0
me_matmul_00051_09082200,f8E5M2->f32,f8E5M2,f32,1280,2432,384,1195376640,19310494000.0,23.683914515659293,408.0
me_matmul_00282_16d4f099,f16->f32,f16,f32,1344,3520,256,1211105280,24667229000.0,23.928741438519914,590.0
